layout,gran,query,total_files,files_read,files_pruned,files_pct,bytes_read_mb,total_bytes_mb,total_rg,median_s,min_s
L0,monthly,spatial,31,31,0,100.00,3573.2,3573.2,682,6.2485,6.0772
L0,monthly,temporal,31,1,30,3.23,119.9,3573.2,22,0.0027,0.0023
L0,monthly,st_q57,31,31,0,100.00,3573.2,3573.2,682,12.4832,12.4047
L1,monthly,spatial,16,16,0,100.00,3568.7,3568.7,368,6.3266,6.2892
L1,monthly,temporal,16,16,0,100.00,3568.7,3568.7,368,0.0037,0.0036
L1,monthly,st_q57,16,16,0,100.00,3568.7,3568.7,368,12.6384,12.6316
L2,monthly,spatial,119,1,118,0.84,334.2,3950.0,132,0.1913,0.1909
L2,monthly,temporal,119,119,0,100.00,3950.0,3950.0,3498,0.0246,0.0246
L2,monthly,st_q57,119,1,118,0.84,334.2,3950.0,132,1.3448,1.3226
L3,monthly,spatial,299,1,298,0.33,81.5,4169.3,22,0.1950,0.1946
L3,monthly,temporal,299,299,0,100.00,4169.3,4169.3,7304,0.0493,0.0488
L3,monthly,st_q57,299,4,295,1.34,354.2,4169.3,176,1.2176,1.2104
L4,monthly,spatial,24,24,0,100.00,3396.9,3396.9,504,2.4834,2.4799
L4,monthly,temporal,24,2,22,8.33,237.4,3396.9,42,0.0046,0.0045
L4,monthly,st_q57,24,24,0,100.00,3396.9,3396.9,504,3.9209,3.9009
L0,daily,spatial,31,31,0,100.00,3573.2,3573.2,682,6.2137,6.1001
L0,daily,temporal,31,1,30,3.23,119.9,3573.2,22,0.0022,0.0022
L0,daily,st_q57,31,31,0,100.00,3573.2,3573.2,682,12.5964,12.4354
L1,daily,spatial,496,496,0,100.00,3574.0,3574.0,10912,6.2288,6.1507
L1,daily,temporal,496,496,0,100.00,3574.0,3574.0,10912,0.0381,0.0375
L1,daily,st_q57,496,496,0,100.00,3574.0,3574.0,10912,12.4189,12.3546
L2,daily,spatial,1439,31,1408,2.15,334.6,3994.4,589,0.2242,0.2205
L2,daily,temporal,1439,1439,0,100.00,3994.4,3994.4,27341,0.1252,0.1225
L2,daily,st_q57,1439,31,1408,2.15,334.6,3994.4,589,1.3612,1.3597
L3,daily,spatial,4133,31,4102,0.75,81.8,4200.4,589,0.4004,0.3996
L3,daily,temporal,4133,4133,0,100.00,4200.4,4200.4,78527,0.3610,0.3499
L3,daily,st_q57,4133,124,4009,3.00,354.9,4200.4,2356,1.4570,1.4486
L4,daily,spatial,744,744,0,100.00,3405.6,3405.6,14136,1.1951,1.1830
L4,daily,temporal,744,62,682,8.33,238.2,3405.6,1178,0.0585,0.0556
L4,daily,st_q57,744,744,0,100.00,3405.6,3405.6,14136,2.6226,2.6136
L1,compact,spatial,16,16,0,100.00,3568.7,3568.7,368,6.3032,6.2646
L1,compact,temporal,16,16,0,100.00,3568.7,3568.7,368,0.0037,0.0037
L1,compact,st_q57,16,16,0,100.00,3568.7,3568.7,368,12.5420,12.4960
L2,compact,spatial,119,1,118,0.84,334.2,3950.0,132,0.1980,0.1967
L2,compact,temporal,119,119,0,100.00,3950.0,3950.0,3498,0.0267,0.0251
L2,compact,st_q57,119,1,118,0.84,334.2,3950.0,132,1.3363,1.3345
L3,compact,spatial,299,1,298,0.33,81.5,4169.3,22,0.1941,0.1940
L3,compact,temporal,299,299,0,100.00,4169.3,4169.3,7304,0.0594,0.0478
L3,compact,st_q57,299,4,295,1.34,354.2,4169.3,176,1.2500,1.2439
L4,compact,spatial,24,24,0,100.00,3396.9,3396.9,504,2.5723,2.5642
L4,compact,temporal,24,2,22,8.33,237.4,3396.9,42,0.0045,0.0045
L4,compact,st_q57,24,24,0,100.00,3396.9,3396.9,504,4.0397,4.0107
